lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,country,date
-53.15,-70.92,272.15,92,18,5.1,CL,1594463357
1.48,103.39,300.93,94,20,1.0,MY,1594463530
-9.88,-56.09,292.6,65,0,1.25,BR,1594463530
54.48,53.47,297.31,79,95,5.09,RU,1594463530
-33.65,115.33,284.26,58,1,4.15,AU,1594463530
-9.8,-139.03,299.75,77,20,10.24,PF,1594463530
69.45,-133.04,274.64,94,20,2.41,CA,1594463531
42.6,-73.97,295.93,92,100,2.01,US,1594463318
-54.8,-68.3,272.15,80,20,2.1,AR,1594463531
71.97,102.5,289.22,69,78,7.65,RU,1594463531
57.25,58.73,298.14,58,95,4.69,RU,1594463532
41.28,-70.1,294.15,100,90,5.1,US,1594463532
70.37,31.11,283.15,81,75,2.1,NO,1594463532
-34.42,19.23,287.04,64,58,3.13,ZA,1594463532
17.25,80.15,306.19,57,100,2.11,IN,1594463532
-33.02,27.91,292.15,29,14,13.4,ZA,1594463532
22.08,-159.32,299.15,78,90,8.2,US,1594463533
56.83,95.23,292.68,54,68,2.01,RU,1594463533
-33.93,18.42,287.59,62,20,2.1,ZA,1594463491
37.57,126.98,302.15,51,1,2.6,KR,1594462968
59.7,30.79,296.48,73,75,9.0,RU,1594463533
42.1,-79.24,294.26,94,90,3.6,US,1594463534
41.81,126.91,293.62,82,32,0.43,CN,1594463534
-34.53,20.04,287.15,62,11,4.6,ZA,1594463534
-0.6,73.08,302.36,72,76,3.79,MV,1594463441
3.07,172.79,301.53,78,100,6.35,KI,1594463535
42.02,43.56,297.93,55,98,4.4,GE,1594463535
-21.21,-159.78,295.15,88,97,3.1,CK,1594463535
-3.7,128.18,300.15,83,40,1.5,ID,1594463390
-0.74,-90.35,292.04,95,96,0.89,EC,1594463535
69.38,178.42,277.82,74,4,5.91,RU,1594463345
-46.6,168.33,277.04,83,76,1.34,NZ,1594463536
71.92,114.08,293.25,72,85,7.8,RU,1594463536
-28.78,32.04,292.58,66,29,9.45,ZA,1594463536
18.73,-103.68,297.79,84,5,1.13,MX,1594463536
-35.35,150.47,283.71,100,28,4.1,AU,1594463536
67.54,133.38,298.1,33,61,2.69,RU,1594463537
-23.12,-134.97,292.92,67,0,8.17,PF,1594463537
54.04,19.03,289.26,67,40,6.7,PL,1594463537
65.61,-37.64,280.15,75,20,4.6,GL,1594463537
16.23,-94.65,298.55,87,100,6.37,MX,1594463537
60.14,-45.24,279.99,94,97,2.96,GL,1594463537
22.89,-109.91,299.82,65,10,2.56,MX,1594463538
17.43,102.57,305.15,62,20,2.1,TH,1594463538
49.75,-77.63,293.15,94,90,2.6,CA,1594463345
60.92,-46.05,282.15,81,75,2.1,GL,1594463538
-22.97,-42.03,292.15,82,4,4.6,BR,1594463538
69.22,-51.1,280.15,70,75,1.5,GL,1594463539
55.1,-105.28,287.15,100,75,2.6,CA,1594463539
-41.41,175.52,284.15,76,33,6.2,NZ,1594463539
8.67,15.38,303.12,56,87,2.76,TD,1594463539
-21.2,-175.2,295.15,83,40,4.6,TO,1594463539
-23.86,35.38,299.15,78,75,8.2,MZ,1594463540
-35.17,173.17,283.4,78,99,1.03,NZ,1594463540
-6.28,107.81,300.0,80,77,2.92,ID,1594463540
-42.78,147.06,280.93,89,100,0.95,AU,1594463540
-45.42,167.72,280.55,87,92,1.91,NZ,1594463540
42.97,129.84,292.61,86,100,2.1,CN,1594463541
-35.57,138.62,282.04,95,46,0.45,AU,1594463541
-33.59,26.89,290.93,47,19,4.47,ZA,1594463541
-20.41,57.7,297.15,64,75,8.2,MU,1594463542
73.51,80.55,279.69,83,1,6.76,RU,1594463542
47.5,-111.3,284.26,71,1,2.1,US,1594463542
-42.88,147.33,280.93,87,75,2.1,AU,1594463402
-42.72,170.97,284.64,78,100,5.6,NZ,1594463542
22.29,114.16,304.26,73,66,2.24,HK,1594463249
-21.57,21.78,290.39,29,0,7.02,BW,1594463543
20.5,-10.07,309.74,24,0,6.79,MR,1594463543
71.69,128.87,280.58,77,100,2.66,RU,1594463543
-18.17,49.38,299.15,65,40,6.2,MG,1594463543
69.7,170.31,284.96,71,86,2.47,RU,1594463544
42.16,-72.33,296.48,88,90,4.1,US,1594463544
5.41,100.34,302.15,79,20,2.1,MY,1594463544
-15.89,-52.26,292.8,50,0,0.5,BR,1594463544
-6.13,12.37,297.15,83,75,2.6,AO,1594463544
25.7,100.18,295.06,70,99,4.19,CN,1594463545
55.75,38.0,299.15,44,18,6.0,RU,1594463545
50.04,16.74,286.48,92,100,3.42,CZ,1594463545
-24.79,-50.01,288.28,84,69,1.97,BR,1594463545
-37.62,-73.65,282.27,77,100,4.53,CL,1594463545
69.49,88.4,287.15,71,95,10.0,RU,1594463546
-33.04,-71.63,280.15,100,90,1.0,CL,1594463546
52.52,111.54,293.81,73,61,3.64,RU,1594463546
-24.87,113.63,292.15,72,0,3.1,AU,1594463546
55.74,-97.86,282.15,93,75,1.0,CA,1594463546
-34.73,135.87,284.72,71,9,5.3,AU,1594463547
50.68,156.12,284.06,84,100,1.59,RU,1594463547
4.88,-1.76,299.15,75,72,4.68,GH,1594463547
71.29,-156.79,274.15,94,90,3.1,US,1594463547
-45.58,-72.07,273.15,95,98,2.6,CL,1594463547
-46.19,168.86,277.04,83,49,1.34,NZ,1594463548
-26.65,15.16,289.15,67,0,5.7,NA,1594463548
45.65,8.63,302.04,58,17,1.5,IT,1594463548
-0.61,-47.36,300.73,77,90,5.63,BR,1594463548
31.21,16.59,300.67,60,0,5.33,LY,1594463431
-8.1,156.84,301.28,77,99,4.91,SB,1594463548
20.15,92.9,302.33,80,100,5.09,MM,1594463549
59.76,43.13,293.67,51,80,3.87,RU,1594463549
18.42,75.2,303.69,57,98,6.78,IN,1594463549
-22.67,167.48,293.76,76,56,9.92,NC,1594463549
51.38,1.39,290.93,55,0,1.34,GB,1594463482
19.73,-155.09,296.15,78,90,2.1,US,1594463549
37.72,-25.43,293.15,72,75,1.5,PT,1594463550
6.12,81.12,303.15,79,75,6.2,LK,1594463550
61.36,63.58,299.38,51,28,7.08,RU,1594463550
21.46,-71.14,301.26,80,75,9.37,TC,1594463550
2.04,45.34,301.15,69,40,7.7,SO,1594463551
-16.48,-151.75,298.53,79,0,9.14,PF,1594463551
0.09,33.98,295.97,66,86,2.86,KE,1594463551
37.1,-113.58,300.15,21,1,1.5,US,1594463404
56.74,24.39,292.15,55,75,7.2,LV,1594463551
65.58,-171.0,281.85,66,0,2.06,RU,1594463551
50.72,136.63,289.82,84,9,0.34,RU,1594463552
-33.92,25.57,289.15,51,75,13.9,ZA,1594463552
1.0,-52.0,296.21,97,87,0.4,BR,1594463552
-3.8,102.27,300.37,84,42,2.45,ID,1594463552
-3.2,-52.21,296.22,95,72,1.4,BR,1594463552
-5.09,-80.16,291.07,75,62,1.62,PE,1594463553
-20.73,139.5,291.15,23,100,2.6,AU,1594463439
60.37,93.04,289.71,75,46,2.94,RU,1594463553
38.89,-76.51,298.15,78,20,1.5,US,1594463553
58.45,92.17,293.96,55,45,2.71,RU,1594463554
22.15,-80.44,296.15,100,92,1.5,CU,1594463554
35.73,140.83,300.37,88,75,8.7,JP,1594463554
23.62,90.5,302.15,83,90,3.1,BD,1594463554
9.79,-69.79,289.15,100,74,0.5,VE,1594463554
62.46,-114.35,287.04,100,40,1.0,CA,1594463534
47.7,131.1,294.25,87,40,2.0,RU,1594463555
-6.22,155.63,299.58,80,100,2.78,PG,1594463555
29.11,58.36,310.7,10,0,9.88,IR,1594463555
20.52,-13.05,304.15,22,0,8.2,MR,1594463555
-1.2,-46.02,300.12,79,100,4.17,BR,1594463556
24.09,32.91,313.93,9,35,6.84,EG,1594463514
38.42,77.24,308.06,10,0,4.16,CN,1594463556
7.42,81.82,303.05,70,92,5.84,LK,1594463556
29.06,-13.56,298.15,65,20,9.8,ES,1594463556
8.3,30.14,305.83,52,48,1.25,SS,1594463557
50.06,43.24,300.46,42,0,7.0,RU,1594463557
-17.8,-63.17,292.15,88,75,6.2,BO,1594463304
2.82,-60.67,298.15,88,40,1.5,BR,1594463557
19.22,-104.7,298.44,87,17,2.17,MX,1594463557
-31.41,-64.18,281.48,80,0,3.1,AR,1594463516
41.37,-73.41,295.37,98,80,4.26,US,1594463558
64.89,-23.71,284.18,90,100,5.35,IS,1594463558
13.22,80.32,308.15,56,40,2.6,IN,1594463558
65.28,-126.83,282.15,87,75,1.0,CA,1594463559
38.93,100.45,299.87,25,90,4.7,CN,1594463559
-45.75,170.57,282.04,70,100,1.34,NZ,1594463559
-20.33,-40.29,295.93,93,40,1.0,BR,1594463559
11.0,122.67,299.91,83,100,0.3,PH,1594463560
25.29,32.55,311.15,24,15,2.1,EG,1594463560
-20.32,118.57,298.15,16,0,3.6,AU,1594463560
32.77,22.64,300.02,57,0,9.01,LY,1594463560
-21.15,149.2,291.15,93,100,2.6,AU,1594463310
40.7,-99.08,291.15,93,1,2.6,US,1594463271
52.96,4.76,290.37,67,75,4.1,NL,1594463448
42.25,-75.83,294.26,94,90,4.1,US,1594463561
7.99,117.06,299.95,81,100,3.53,PH,1594463562
-1.35,-47.58,297.44,94,83,3.27,BR,1594463562
16.13,119.78,302.5,71,97,0.91,PH,1594463562
67.68,53.15,293.02,43,63,7.63,RU,1594463562
62.58,6.13,285.15,81,75,4.6,NO,1594463562
20.89,-156.47,300.15,51,1,5.1,US,1594463562
40.6,-124.16,286.48,100,20,1.52,US,1594463563
-21.64,-41.05,290.15,100,0,3.19,BR,1594463563
-8.93,125.41,288.28,100,89,1.29,TL,1594463563
-30.38,153.1,291.15,77,90,4.6,AU,1594463563
-19.06,-169.92,296.15,88,64,6.2,NU,1594463387
33.19,-82.53,297.15,91,1,2.41,US,1594463564
57.51,50.5,296.52,50,0,2.91,RU,1594463564
51.1,66.32,305.39,31,0,4.49,KZ,1594463564
-28.65,153.62,291.15,82,87,3.6,AU,1594463166
20.93,-17.03,297.15,73,0,8.2,MR,1594463564
-15.2,12.15,297.44,35,5,3.51,AO,1594463565
51.23,-58.65,289.68,79,61,6.21,CA,1594463565
59.57,150.8,284.15,90,73,2.03,RU,1594463565
22.57,59.53,307.29,52,17,2.74,OM,1594463565
47.67,-52.73,285.93,93,75,2.1,CA,1594463407
38.52,-28.7,294.15,77,75,4.6,PT,1594463565
35.13,140.3,300.37,91,100,5.81,JP,1594463566
34.74,60.78,307.99,14,0,13.22,IR,1594463566
53.88,67.42,304.0,58,38,4.02,KZ,1594463566
53.05,158.65,287.15,87,40,3.0,RU,1594463566
-2.02,147.27,301.26,78,47,3.16,PG,1594463567
61.13,21.51,290.15,59,20,4.6,FI,1594463351
-16.26,-56.62,293.13,52,0,2.75,BR,1594463567
-20.34,57.76,297.15,64,75,8.2,MU,1594463567
25.99,-80.23,300.37,83,1,3.1,US,1594463567
34.64,-120.46,285.15,100,90,0.43,US,1594463567
36.92,34.88,308.15,59,40,3.1,TR,1594463568
64.86,-147.8,284.15,62,40,3.6,US,1594463526
44.08,-80.2,293.15,100,20,2.25,CA,1594463415
26.3,68.63,317.15,34,34,2.1,PK,1594463568
1.2,-70.17,294.01,99,56,0.94,CO,1594463569
9.49,50.81,307.43,41,20,12.45,SO,1594463569
10.57,72.64,301.43,75,100,6.28,IN,1594463569
33.97,36.66,308.15,24,0,5.1,SY,1594463569
-6.64,-51.99,296.5,72,18,0.76,BR,1594463570
9.11,18.35,301.15,69,20,1.54,TD,1594463570
-29.34,-49.73,287.53,92,95,5.2,BR,1594463570
-4.32,20.58,311.64,29,13,0.63,CD,1594463570
9.18,105.15,300.3,86,100,1.73,VN,1594463557
26.73,33.94,308.15,32,0,7.2,EG,1594463571
-0.95,-80.73,293.87,88,72,1.25,EC,1594463407
-9.33,34.77,293.27,56,16,4.3,TZ,1594463571
48.01,91.64,299.9,23,86,1.13,MN,1594463571
67.8,130.41,295.49,37,47,3.47,RU,1594463571
32.67,-17.1,297.15,60,20,7.7,PT,1594463572
64.38,-173.3,285.69,76,85,0.77,RU,1594463572
70.63,147.92,285.68,64,0,5.7,RU,1594463572
45.76,106.27,298.39,25,64,3.9,MN,1594463572
22.81,115.83,301.93,82,7,3.67,CN,1594463572
28.22,61.22,309.8,9,39,10.08,IR,1594463573
-2.1,-56.49,296.88,89,20,0.87,BR,1594463573
11.24,-74.2,297.59,88,86,0.89,CO,1594463573
-35.33,-72.42,280.69,80,96,3.05,CL,1594463534
6.19,-67.49,296.48,95,100,1.82,CO,1594463573
13.22,-59.52,301.15,78,40,8.2,BB,1594463574
70.47,-68.59,286.15,54,1,0.91,CA,1594463574
63.79,74.52,297.12,39,26,3.71,RU,1594463574
-21.36,55.77,298.15,53,43,6.2,RE,1594463574
13.78,124.39,301.07,78,100,1.76,PH,1594463574
61.99,-49.67,279.05,94,100,2.65,GL,1594463575
59.94,55.0,297.75,40,0,4.55,RU,1594463575
38.42,-121.42,293.71,52,1,1.66,US,1594463297
-20.01,57.66,296.48,66,69,7.15,MU,1594463575
-33.87,121.9,285.15,81,90,2.1,AU,1594463442
-3.43,10.66,297.75,76,66,3.24,GA,1594463575
36.73,24.43,299.15,61,20,9.3,GR,1594463576
-18.77,46.03,299.62,33,0,3.84,MG,1594463576
19.05,-95.98,298.71,80,98,1.34,MX,1594463576
58.52,64.55,304.76,40,6,6.2,RU,1594463576
10.28,22.79,297.75,83,100,2.09,CF,1594463576
28.66,-17.92,298.15,65,20,6.7,ES,1594463576
57.79,-152.41,285.15,81,1,2.1,US,1594463577
67.45,153.68,290.82,62,28,3.27,RU,1594463577
-8.14,159.59,299.23,82,100,5.27,SB,1594463577
-9.6,-35.96,295.15,94,20,3.1,BR,1594463577
53.34,15.05,290.93,59,40,4.6,PL,1594463577
-30.18,-50.21,286.62,94,98,3.27,BR,1594463289
70.05,24.97,289.15,51,100,4.1,NO,1594463578
32.25,67.25,307.17,10,0,5.6,AF,1594463578
9.32,16.16,304.56,53,87,1.87,TD,1594463578
39.42,29.98,301.15,45,0,1.5,TR,1594463502
-34.67,-54.92,280.93,75,64,1.5,UY,1594463578
58.52,-117.14,284.15,100,1,1.0,CA,1594463579
29.56,34.95,307.15,38,0,2.6,IL,1594463579
-8.42,20.74,307.74,17,52,3.21,AO,1594463579
59.38,143.3,285.08,90,92,2.93,RU,1594463579
-34.0,24.73,285.63,71,63,14.71,ZA,1594463580
-31.93,115.83,287.59,58,0,3.1,AU,1594463377
63.84,-22.43,283.15,93,75,6.2,IS,1594463580
62.55,155.55,284.0,87,27,1.69,RU,1594463580
-0.95,122.79,298.35,79,100,2.02,ID,1594463580
29.03,21.55,308.36,20,0,3.77,LY,1594463580
-38.27,141.97,283.92,88,100,3.41,AU,1594463581
35.19,-114.05,301.48,29,1,2.6,US,1594463581
66.32,-179.17,287.02,75,99,1.34,RU,1594463581
-10.45,161.92,298.89,82,100,3.22,SB,1594463581
-13.28,-50.16,296.62,50,47,2.19,BR,1594463581
60.05,69.9,303.84,46,58,3.55,RU,1594463582
8.46,25.68,302.87,61,65,1.77,SS,1594463582
37.46,-122.43,287.15,76,1,1.5,US,1594463456
-11.1,-77.61,288.71,78,83,1.72,PE,1594463582
-19.98,23.42,292.15,32,0,6.7,BW,1594463582
4.93,-52.33,297.15,100,100,2.91,GF,1594463519
-24.7,44.75,302.81,28,0,5.66,MG,1594463583
14.51,-92.19,297.89,87,100,3.12,GT,1594463583
54.17,17.49,291.48,67,40,6.7,PL,1594463583
-28.77,114.6,289.15,44,0,2.6,AU,1594463466
5.28,115.24,301.15,83,20,5.05,MY,1594463583
45.52,-122.68,288.71,83,0,0.96,US,1594463583
64.25,-15.21,286.15,66,40,1.5,IS,1594463584
35.24,129.21,297.15,73,75,4.6,KR,1594463584
-9.43,159.95,297.15,100,75,3.16,SB,1594463584
5.88,-10.05,300.15,69,75,5.1,LR,1594463584
29.96,122.3,298.24,93,99,7.45,CN,1594463584
51.15,41.23,298.94,44,0,4.35,RU,1594463585
66.15,-65.71,283.24,52,32,0.72,CA,1594463585
33.12,46.16,311.15,14,20,4.1,IR,1594463585
61.28,108.01,291.68,84,96,2.45,RU,1594463585
